gene_symbol,organism_abbreviation,primary_FBgn,secondary_FBgn,annotation_ID,secondary_annotation_IDs
Fer3HCH,Dmel,FBgn0030449,,CG4349,
CG15459,Dmel,FBgn0031108,,CG15459,
hep,Dmel,FBgn0010303,"FBgn0013490,FBgn0029076,FBgn0030446,FBgn0040188",CG4353,CG2190
5SrRNA:CR33355,Dmel,FBgn0053355,,CR33355,
mir-309,Dmel,FBgn0262380,"FBgn0067695,FBgn0262196",CR42903,CR33613
CG31650,Dmel,FBgn0031673,FBgn0051650,CG31650,CG9112
CG4483,Dmel,FBgn0035970,,CG4483,
mthl1,Dmel,FBgn0030766,"FBgn0046548,FBgn0046549",CG4521,
dpr11,Dmel,FBgn0053202,"FBgn0037450,FBgn0037451,FBgn0037452,FBgn0051309,FBgn0063228",CG33202,"CG15183,CG31309,CG15182,CG15181"
Ostgamma,Dmel,FBgn0032015,,CG7830,
His3:CG31613,Dmel,FBgn0051613,,CG31613,
CG17191,Dmel,FBgn0039473,,CG17191,
CG15820,Dmel,FBgn0035312,FBgn0062888,CG15820,
Obp93a,Dmel,FBgn0038859,,CG17284,
CG31867,Dmel,FBgn0051867,"FBgn0063617,FBgn0063771",CG31867,CG6275
CG4629,Dmel,FBgn0031299,FBgn0063800,CG4629,
mir-2496,Dmel,FBgn0262297,,CR43004,
Trl,Dmel,FBgn0013263,"FBgn0036445,FBgn0053261,FBgn0005691,FBgn0010008,FBgn0010418,FBgn0011024,FBgn0025220",CG33261,CG9343
CG31803,Dmel,FBgn0051803,FBgn0063701,CG31803,
CG11555,Dmel,FBgn0086856,"FBgn0031241,FBgn0017442",CG11555,
CG15880,Dmel,FBgn0031283,,CG15880,
CG31016,Dmel,FBgn0051016,FBgn0039791,CG31016,CG9708
CG4892,Dmel,FBgn0028884,FBgn0063712,CG4892,
CG6209,Dmel,FBgn0033862,,CG6209,
CG43202,Dmel,FBgn0262838,,CG43202,CG42737
sds22,Dmel,FBgn0028992,FBgn0038503,CG5851,
CG6236,Dmel,FBgn0038318,,CG6236,
CG6227,Dmel,FBgn0030631,,CG6227,
unc-4,Dmel,FBgn0024184,,CG6269,
CG6347,Dmel,FBgn0033874,,CG6347,
CG17470,Dmel,FBgn0032869,"FBgn0044560,FBgn0045901",CG17470,
CG6332,Dmel,FBgn0038921,FBgn0044639,CG6332,
CG4956,Dmel,FBgn0039370,,CG4956,
mir-4917,Dmel,FBgn0263530,,CR43515,
CG4962,Dmel,FBgn0036597,,CG4962,
CG33477,Dmel,FBgn0053477,,CG33477,
Tsp66E,Dmel,FBgn0035936,,CG4999,
CG33500,Dmel,FBgn0053500,,CG33500,
alpha-Man-Ib,Dmel,FBgn0039634,,CG11874,
mir-4955,Dmel,FBgn0263531,,CR43516,
CG6441,Dmel,FBgn0031920,FBgn0044585,CG6441,
CG43203,Dmel,FBgn0262839,,CG43203,CG42793
Or94b,Dmel,FBgn0039034,"FBgn0067028,FBgn0067029",CG6679,
CG33630,Dmel,FBgn0053630,FBgn0037784,CG33630,CG12808
CG33631,Dmel,FBgn0053631,FBgn0037784,CG33631,CG12808
grk,Dmel,FBgn0001137,,CG17610,
CG33654,Dmel,FBgn0053654,,CG33654,
tra,Dmel,FBgn0003741,,CG16724,
CG33258,Dmel,FBgn0053258,FBgn0082905,CG33258,CR33258
bw,Dmel,FBgn0000241,,CG17632,
mir-4962,Dmel,FBgn0263532,,CR43517,
mir-4973,Dmel,FBgn0263533,,CR43518,
mir-4960,Dmel,FBgn0263534,,CR43519,
CG8119,Dmel,FBgn0030664,,CG8119,
CG11113,Dmel,FBgn0033165,,CG11113,
CG6652,Dmel,FBgn0036687,,CG6652,
CG33752,Dmel,FBgn0053752,,CG33752,
CG33702,Dmel,FBgn0053702,,CG33702,
CG33703,Dmel,FBgn0053703,,CG33703,
IM18,Dmel,FBgn0067903,"FBgn0034881,FBgn0045894,FBgn0045895,FBgn0045896,FBgn0053706,FBgn0063722",CG33706,CG10332
CG11226,Dmel,FBgn0037195,FBgn0063728,CG11226,
CG17732,Dmel,FBgn0036923,,CG17732,
CG9689,Dmel,FBgn0030159,FBgn0062505,CG9689,
IP3K2,Dmel,FBgn0283680,"FBgn0266375,FBgn0085388,FBgn0030471,FBgn0030470,FBgn0030469,FBgn0004031",CG45017,"CG12724,CG1630,CG34359,CG15745"
CG32817,Dmel,FBgn0052817,,CG32817,
CG6788,Dmel,FBgn0030880,,CG6788,
His4:CG33873,Dmel,FBgn0053873,,CG33873,
temp,Dmel,FBgn0027296,FBgn0029609,CG3073,
GABA-B-R2,Dmel,FBgn0027575,"FBgn0046522,FBgn0046523",CG6706,
Cbp53E,Dmel,FBgn0004580,,CG6702,
Mst89B,Dmel,FBgn0020399,,CG6864,
CG6800,Dmel,FBgn0038902,FBgn0043015,CG6800,
boss,Dmel,FBgn0000206,"FBgn0024699,FBgn0024700",CG8285,
CG6836,Dmel,FBgn0036834,,CG6836,
mir-3641,Dmel,FBgn0263630,"FBgn0262136,FBgn0263535",CR43520,
CG1468,Dmel,FBgn0030157,FBgn0064963,CG1468,
sunn,Dmel,FBgn0052088,FBgn0036200,CG32088,CG7308
Mnt,Dmel,FBgn0023215,"FBgn0024333,FBgn0029674",CG13316,CG2856
CG12446,Dmel,FBgn0031201,,CG12446,
mir-4974,Dmel,FBgn0263536,,CR43521,
mir-974,Dmel,FBgn0262216,,CR42923,
mir-956,Dmel,FBgn0262291,,CR42998,
scrt,Dmel,FBgn0004880,"FBgn0064785,FBgn0066002",CG1130,
mir-4951,Dmel,FBgn0263537,,CR43522,
5SrRNA:CR33357,Dmel,FBgn0053357,,CR33357,
mir-984,Dmel,FBgn0262282,,CR42989,
snoRNA:U14:30Eb,Dmel,FBgn0063391,,CR32876,
mir-125,Dmel,FBgn0262456,"FBgn0043885,FBgn0064159,FBgn0053314,FBgn0262322",CR43029,CR33314
snoRNA:Me28S-C3227a,Dmel,FBgn0082940,,CR34533,
snoRNA:Me28S-C3227b,Dmel,FBgn0082939,,CR34534,
snoRNA:Me28S-U1848,Dmel,FBgn0082926,,CR34535,
snoRNA:Me18S-G1952,Dmel,FBgn0082950,,CR34536,
snoRNA:Me18S-A1061,Dmel,FBgn0082952,,CR34537,
mir-311,Dmel,FBgn0262402,"FBgn0067693,FBgn0262236",CR42943,CR33615
mir-4965,Dmel,FBgn0263538,,CR43523,
5SrRNA:CR33358,Dmel,FBgn0053358,,CR33358,
CG11035,Dmel,FBgn0037544,FBgn0062016,CG11035,
Or42b,Dmel,FBgn0033043,,CG12754,
CG30110,Dmel,FBgn0050110,FBgn0045354,CG30110,
mir-4978,Dmel,FBgn0263539,,CR43524,
Mink,Dmel,FBgn0039250,,CG11120,
bbx,Dmel,FBgn0024251,"FBgn0014083,FBgn0052527",CG1414,CG32527
CG5867,Dmel,FBgn0027586,,CG5867,
snoRNA:Or-aca4,Dmel,FBgn0082922,,CR34543,
CG33927,Dmel,FBgn0053927,,CG33927,
snoRNA:Me28S-A992,Dmel,FBgn0082941,,CR34538,
snoRNA:Me28S-G2703a,Dmel,FBgn0082931,,CR34539,
snoRNA:Me28S-G2703b,Dmel,FBgn0082930,,CR34540,
snoRNA:Me28S-G2703c,Dmel,FBgn0082929,,CR34541,
snoRNA:Psi18S-1347a,Dmel,FBgn0083054,,CR34544,
snoRNA:Psi18S-1347b,Dmel,FBgn0083053,,CR34545,
mir-3645,Dmel,FBgn0263631,"FBgn0262135,FBgn0263540",CR43525,
mir-4986,Dmel,FBgn0263541,,CR43526,
Or56a,Dmel,FBgn0034473,,CG12501,
mir-4979,Dmel,FBgn0263543,,CR43528,
mir-4949,Dmel,FBgn0263544,,CR43529,
RpL7,Dmel,FBgn0005593,FBgn0043838,CG4897,
5SrRNA:CR33359,Dmel,FBgn0053359,,CR33359,
CG33922,Dmel,FBgn0053922,,CG33922,
CG18281,Dmel,FBgn0037003,,CG18281,
mir-4963,Dmel,FBgn0263545,,CR43530,
mir-4985,Dmel,FBgn0263546,,CR43531,
His4:CG33869,Dmel,FBgn0053869,,CG33869,
CG12788,Dmel,FBgn0031041,FBgn0053066,CG12788,CG33066
mir-988,Dmel,FBgn0262300,,CR43007,
mir-315,Dmel,FBgn0262461,"FBgn0067689,FBgn0262329",CR43036,CR33619
mir-31b,Dmel,FBgn0262369,"FBgn0067684,FBgn0262175",CR42882,CR33568
mir-1,Dmel,FBgn0262455,"FBgn0046834,FBgn0262320",CR43027,CR32958
mir-4944,Dmel,FBgn0263547,,CR43532,
mir-4957,Dmel,FBgn0263548,,CR43533,
mir-3642,Dmel,FBgn0263632,"FBgn0262132,FBgn0263549",CR43534,
gnu,Dmel,FBgn0001120,FBgn0036453,CG5272,
muskelin,Dmel,FBgn0033757,,CG8811,
achi,Dmel,FBgn0033749,FBgn0026155,CG8819,
CG15365,Dmel,FBgn0030077,,CG15365,
CG33342,Dmel,FBgn0086610,"FBgn0082651,FBgn0053342",CG33342,
rtp,Dmel,FBgn0087005,"FBgn0037302,FBgn0020322,FBgn0086684",CG10233,
mir-4918,Dmel,FBgn0263550,,CR43535,
mir-4939,Dmel,FBgn0263551,,CR43536,
CG33792,Dmel,FBgn0053792,,CG33792,
snoRNA:684,Dmel,FBgn0065058,FBgn0053794,CR33794,
mir-4961,Dmel,FBgn0263552,,CR43537,
CG10877,Dmel,FBgn0038804,,CG10877,
CG13175,Dmel,FBgn0033693,"FBgn0033694,FBgn0053154",CG13175,CG33154
mir-4952,Dmel,FBgn0263554,,CR43539,
Vsx2,Dmel,FBgn0263512,"FBgn0053980,FBgn0029772,FBgn0029773,FBgn0029774,FBgn0026558",CG33980,"CG15782,CG15781,CG15783"
mir-4943,Dmel,FBgn0263555,,CR43540,
mir-4940,Dmel,FBgn0263556,,CR43541,
mir-4980,Dmel,FBgn0263558,,CR43543,
mir-2535b,Dmel,FBgn0263559,,CR43544,
mir-4987,Dmel,FBgn0263560,,CR43545,
mir-4984,Dmel,FBgn0263561,,CR43546,
mir-4914,Dmel,FBgn0263564,,CR43549,
CG17190,Dmel,FBgn0038761,,CG17190,
tRNA:Glu-CTC-5-1Psi,Dmel,FBgn0050449,FBgn0050221,CR30449,
mir-4950,Dmel,FBgn0263565,,CR43550,
mir-4946,Dmel,FBgn0263568,,CR43553,
mir-4968,Dmel,FBgn0263569,,CR43554,
snRNA:U2:34ABc,Dmel,FBgn0041720,"FBgn0003919,FBgn0053788",CR33788,
mir-4941,Dmel,FBgn0263570,,CR43555,
mir-4959,Dmel,FBgn0263571,,CR43556,
snoRNA:660,Dmel,FBgn0065059,FBgn0053780,CR33780,
nau,Dmel,FBgn0002922,,CG10250,
mir-4981,Dmel,FBgn0263572,,CR43557,
mir-4942,Dmel,FBgn0263573,,CR43558,
mir-31a,Dmel,FBgn0262416,"FBgn0067685,FBgn0262257",CR42964,CR33567
CG43845,Dmel,FBgn0264427,,CG43845,
CG33770,Dmel,FBgn0053770,FBgn0037173,CG33770,CG14458
CG33771,Dmel,FBgn0053771,FBgn0037173,CG33771,CG14458
mir-3644,Dmel,FBgn0263633,"FBgn0262133,FBgn0263574",CR43559,
snoRNA:Psi28S-3316b,Dmel,FBgn0082971,,CR34548,
CG9220,Dmel,FBgn0030662,,CG9220,
CG12490,Dmel,FBgn0034782,,CG12490,
snoRNA:Psi28S-2444,Dmel,FBgn0082987,,CR34546,
snoRNA:Psi28S-3316a,Dmel,FBgn0082972,,CR34547,
mir-4912,Dmel,FBgn0263575,,CR43560,
snoRNA:Psi28S-3378,Dmel,FBgn0082963,,CR34549,
snoRNA:Psi28S-3316c,Dmel,FBgn0082970,,CR34550,
snoRNA:Psi18S-841b,Dmel,FBgn0083018,,CR34551,
snoRNA:Psi28S-3316d,Dmel,FBgn0082969,,CR34552,
mir-4910,Dmel,FBgn0263577,,CR43562,
mir-4947,Dmel,FBgn0263579,,CR43564,
5SrRNA:CR33360,Dmel,FBgn0053360,,CR33360,
CG33758,Dmel,FBgn0053758,,CG33758,
mir-968,Dmel,FBgn0262332,,CR43039,
mir-2281,Dmel,FBgn0262327,,CR43034,
Patr-1,Dmel,FBgn0266053,"FBgn0028470,FBgn0062120,FBgn0010888",CG5208,
snmRNA:158,Dmel,FBgn0065104,FBgn0053749,CR33749,
Mcm3,Dmel,FBgn0284442,"FBgn0024332,FBgn0020632,FBgn0019654",CG4206,
CG43123,Dmel,FBgn0262583,,CG43123,
5SrRNA:CR33361,Dmel,FBgn0053361,,CR33361,
snRNA:LU,Dmel,FBgn0263847,,CR43708,
Fit2,Dmel,FBgn0036688,,CG7729,
topi,Dmel,FBgn0037751,,CG8484,
sit,Dmel,FBgn0038986,,CG5278,
Amt,Dmel,FBgn0038309,,CG6499,
Osi12,Dmel,FBgn0037419,,CG1154,
ppk20,Dmel,FBgn0039676,,CG7577,
5SrRNA:CR33362,Dmel,FBgn0053362,,CR33362,
Acp63F,Dmel,FBgn0015585,,CG10852,
ida,Dmel,FBgn0041147,"FBgn0016008,FBgn0035472",CG10850,
ppk7,Dmel,FBgn0031802,,CG9499,
snmRNA:254,Dmel,FBgn0065100,FBgn0053705,CR33705,
YME1L,Dmel,FBgn0034792,,CG3499,
CheA75a,Dmel,FBgn0036783,FBgn0063178,CG7313,
CG14062,Dmel,FBgn0039592,,CG14062,
CG11882,Dmel,FBgn0039642,,CG11882,
snoRNA:229,Dmel,FBgn0065073,FBgn0053684,CR33684,
snmRNA:641,Dmel,FBgn0065088,FBgn0053683,CR33683,
CG14207,Dmel,FBgn0031037,,CG14207,
CG8405,Dmel,FBgn0034071,,CG8405,
mir-990,Dmel,FBgn0262307,,CR43014,
Cep89,Dmel,FBgn0266708,"FBgn0266531,FBgn0034037",CG8214,
mir-13b-1,Dmel,FBgn0262367,"FBgn0046829,FBgn0262171",CR42878,CR32933
mir-284,Dmel,FBgn0262383,"FBgn0067707,FBgn0262199",CR42906,CR33600
mir-932,Dmel,FBgn0262205,,CR42912,
mir-1015,Dmel,FBgn0262457,"FBgn0250811,FBgn0262324",CR43031,
CG14511,Dmel,FBgn0039641,,CG14511,
Ir85a,Dmel,FBgn0037630,,CG11775,
mir-1005,Dmel,FBgn0262375,"FBgn0250801,FBgn0262188",CR42895,
mir-961,Dmel,FBgn0262239,,CR42946,
mir-318,Dmel,FBgn0262420,"FBgn0067686,FBgn0262264",CR42971,CR33622
mir-12,Dmel,FBgn0262395,"FBgn0046831,FBgn0262225",CR42932,CR33076
cdm,Dmel,FBgn0261532,"FBgn0038574,FBgn0067650",CG7212,
snoRNA:Psi18S-841c,Dmel,FBgn0083017,,CR34553,
snoRNA:Psi28S-3316e,Dmel,FBgn0082968,,CR34554,
snoRNA:Psi18S-841d,Dmel,FBgn0083016,,CR34555,
snoRNA:Psi18S-1389a,Dmel,FBgn0083046,,CR34556,
snoRNA:Psi18S-1389b,Dmel,FBgn0083045,,CR34557,
Sfp24Bb,Dmel,FBgn0259952,,CG42462,
snmRNA:438,Dmel,FBgn0065092,FBgn0053660,CR33660,
Gr39a,Dmel,FBgn0264556,"FBgn0041244,FBgn0051622,FBgn0022191",CG31622,
Zmynd10,Dmel,FBgn0266709,"FBgn0266604,FBgn0036338",CG11253,
CG31804,Dmel,FBgn0051804,"FBgn0045098,FBgn0045160,FBgn0045312,FBgn0045324",CG31804,
Prp3,Dmel,FBgn0036915,,CG7757,
CG33337,Dmel,FBgn0053337,,CG33337,
snmRNA:357,Dmel,FBgn0065097,FBgn0053659,CR33659,
CG12849,Dmel,FBgn0035068,,CG12849,
CG9406,Dmel,FBgn0034592,,CG9406,
CG33645,Dmel,FBgn0053645,,CG33645,
CG5043,Dmel,FBgn0032636,,CG5043,
Ccdc56,Dmel,FBgn0261353,FBgn0036197,CG42630,CG7319
hog,Dmel,FBgn0266710,"FBgn0266546,FBgn0052595",CG32595,
CG9624,Dmel,FBgn0038213,,CG9624,
Madm,Dmel,FBgn0027497,FBgn0062034,CG1098,
Rab39,Dmel,FBgn0029959,,CG12156,
CG9452,Dmel,FBgn0036877,,CG9452,
mir-4908,Dmel,FBgn0263527,,CR43512,
Ing5,Dmel,FBgn0032516,,CG9293,
pHCl-1,Dmel,FBgn0264908,"FBgn0036542,FBgn0036543,FBgn0046788,FBgn0053989,FBgn0082882,FBgn0036541",CG44099,"CG6112,CG13444,CG33989,CG12486"
pHCl-2,Dmel,FBgn0039840,,CG11340,
mir-2499,Dmel,FBgn0262338,,CR43045,
CG33627,Dmel,FBgn0053627,,CG33627,
Snp,Dmel,FBgn0265192,"FBgn0265183,FBgn0259142,FBgn0034685",CG44248,"CG30327,CG6393,CG42257,CG11478"
mir-969,Dmel,FBgn0262263,,CR42970,
CG33626,Dmel,FBgn0053626,,CG33626,
Zir,Dmel,FBgn0031216,FBgn0025528,CG11376,
mir-303,Dmel,FBgn0262390,"FBgn0067702,FBgn0262217",CR42924,CR33606
mir-11,Dmel,FBgn0262434,"FBgn0046832,FBgn0262285",CR42992,CR32929
mir-4970,Dmel,FBgn0263528,,CR43513,
CG4763,Dmel,FBgn0034910,,CG4763,
mir-283,Dmel,FBgn0262426,"FBgn0067708,FBgn0262273",CR42980,CR33599
mir-314,Dmel,FBgn0262396,"FBgn0067690,FBgn0262226",CR42933,CR33618
mir-2491,Dmel,FBgn0262237,,CR42944,
mir-124,Dmel,FBgn0262398,"FBgn0067341,FBgn0262230",CR42937,CR33573
let-7,Dmel,FBgn0262406,"FBgn0260473,FBgn0043885,FBgn0262242",CR42949,CR32968
Src64B,Dmel,FBgn0262733,"FBgn0003501,FBgn0022792,FBgn0035561,FBgn0086537",CG7524,
mir-4977,Dmel,FBgn0263529,,CR43514,
brat,Dmel,FBgn0010300,"FBgn0002034,FBgn0004827,FBgn0027355",CG10719,
snoRNA:Psi28S-1175a,Dmel,FBgn0083005,,CR34558,
snoRNA:Psi28S-1175b,Dmel,FBgn0083004,,CR34559,
snoRNA:Psi28S-1175c,Dmel,FBgn0083003,,CR34560,
CG4537,Dmel,FBgn0032153,,CG4537,
CG9168,Dmel,FBgn0035216,,CG9168,
FucTD,Dmel,FBgn0035217,,CG9169,
CG10014,Dmel,FBgn0038000,,CG10014,
Atf6,Dmel,FBgn0033010,,CG3136,
snoRNA:Me28S-G1083c,Dmel,FBgn0082933,,CR34564,
snoRNA:Me28S-G1083d,Dmel,FBgn0082932,,CR34565,
snoRNA:Or-aca1,Dmel,FBgn0082925,,CR34561,
snoRNA:Me28S-G1083a,Dmel,FBgn0082935,,CR34562,
snoRNA:Me28S-G1083b,Dmel,FBgn0082934,,CR34563,
Cpr49Ah,Dmel,FBgn0033731,,CG8515,
Ugt86Dg,Dmel,FBgn0040253,FBgn0037866,CG17200,
CG31388,Dmel,FBgn0051388,"FBgn0037886,FBgn0037887,FBgn0064969",CG31388,"CG5135,CG17722"
CG12912,Dmel,FBgn0033497,,CG12912,
vih,Dmel,FBgn0264848,"FBgn0027936,FBgn0036293,FBgn0046375,FBgn0046376,FBgn0046377,FBgn0060486",CG10682,
CG8312,Dmel,FBgn0037720,,CG8312,
Or85f,Dmel,FBgn0037685,,CG16755,
Osi21,Dmel,FBgn0283678,"FBgn0032359,FBgn0283662",CG14925,
CG31454,Dmel,FBgn0051454,FBgn0037593,CG31454,CG11740
5SrRNA-Psi:CR33356,Dmel,FBgn0053356,,CR33356,
hgo,Dmel,FBgn0040211,FBgn0032349,CG4779,
dsx,Dmel,FBgn0000504,,CG11094,
CG18748,Dmel,FBgn0042105,,CG18748,CR18748
Gbeta13F,Dmel,FBgn0001105,,CG10545,
Gr89a,Dmel,FBgn0038440,,CG14901,
CG9270,Dmel,FBgn0032908,,CG9270,
CG9316,Dmel,FBgn0032878,,CG9316,
snoRNA:Psi18S-525k,Dmel,FBgn0083028,,CR34569,
CG31191,Dmel,FBgn0051191,"FBgn0038841,FBgn0038843",CG31191,"CG17277,CG17276"
snoRNA:Psi28S-2263,Dmel,FBgn0082990,,CR34568,
snoRNA:Psi18S-525a,Dmel,FBgn0083038,,CR34570,
ect,Dmel,FBgn0000451,"FBgn0010018,FBgn0036073,FBgn0036074",CG6611,CG11965
snoRNA:Psi18S-640a,Dmel,FBgn0083026,,CR34571,
snoRNA:Psi18S-525c,Dmel,FBgn0083036,,CR34573,
snoRNA:Psi18S-640b,Dmel,FBgn0083025,,CR34574,
snoRNA:Psi18S-525d,Dmel,FBgn0083035,,CR34575,
snoRNA:Psi18S-640c,Dmel,FBgn0083024,,CR34576,
snoRNA:Psi18S-525f,Dmel,FBgn0083033,,CR34579,
snoRNA:Psi18S-525g,Dmel,FBgn0083032,,CR34580,
snoRNA:Psi18S-525h,Dmel,FBgn0083031,,CR34582,
snoRNA:Psi18S-640d,Dmel,FBgn0083023,,CR34578,
snoRNA:Psi18S-525e,Dmel,FBgn0083034,,CR34577,
snoRNA:Psi18S-640f,Dmel,FBgn0083021,,CR34583,
snoRNA:Psi18S-525i,Dmel,FBgn0083030,,CR34584,
snoRNA:Psi18S-640g,Dmel,FBgn0083020,,CR34585,
5SrRNA:CR33369,Dmel,FBgn0053369,,CR33369,
Thd1,Dmel,FBgn0026869,,CG1981,
5SrRNA:CR33370,Dmel,FBgn0053370,,CR33370,
CG10413,Dmel,FBgn0032689,,CG10413,
CR33315,Dmel,FBgn0053315,,CR33315,
Tsf1,Dmel,FBgn0022355,FBgn0025536,CG6186,
mir-993,Dmel,FBgn0262174,,CR42881,
mir-317,Dmel,FBgn0262378,"FBgn0067687,FBgn0262193",CR42900,CR33621
mir-973,Dmel,FBgn0262201,,CR42908,
mir-2a-1,Dmel,FBgn0262377,"FBgn0046826,FBgn0262192",CR42899,CR32965
mir-1010,Dmel,FBgn0262382,"FBgn0250806,FBgn0262198",CR42905,
mir-1002,Dmel,FBgn0262272,,CR42979,
mir-955,Dmel,FBgn0262269,,CR42976,
snoRNA:Psi18S-525j,Dmel,FBgn0083029,,CR34586,
snoRNA:Me28S-C2645a,Dmel,FBgn0082938,,CR34587,
snoRNA:Me28S-C2645b,Dmel,FBgn0082937,,CR34588,
snoRNA:Me28S-C2645c,Dmel,FBgn0082936,,CR34589,
snoRNA:Psi18S-531,Dmel,FBgn0083027,,CR34590,
Fie,Dmel,FBgn0026592,FBgn0035467,CG1079,
snoRNA:Psi28S-1060,Dmel,FBgn0083013,,CR34591,
snoRNA:Psi28S-1232,Dmel,FBgn0082997,,CR34592,
snoRNA:Psi28S-1192d,Dmel,FBgn0082998,,CR34594,
yellow-b,Dmel,FBgn0032601,,CG17914,
jnj,Dmel,FBgn0266282,"FBgn0062269,FBgn0039164",CG5524,
pkaap,Dmel,FBgn0040079,FBgn0028524,CG4132,
Acn,Dmel,FBgn0263198,"FBgn0086441,FBgn0002020,FBgn0032745,FBgn0262596",CG10473,CG10437
Galt,Dmel,FBgn0263200,"FBgn0262939,FBgn0031845",CG9232,
CG43092,Dmel,FBgn0262538,,CG43092,
CG15260,Dmel,FBgn0028850,,CG15260,
snoRNA:Psi28S-1192c,Dmel,FBgn0082999,,CR34595,
snoRNA:Psi28S-1192b,Dmel,FBgn0083000,,CR34596,
snoRNA:Psi28S-1192a,Dmel,FBgn0083001,,CR34597,
snoRNA:Psi18S-1854c,Dmel,FBgn0083040,,CR34598,
mir-190,Dmel,FBgn0262387,"FBgn0259155,FBgn0262208",CR42915,
mir-193,Dmel,FBgn0262330,,CR43037,
mir-286,Dmel,FBgn0262443,"FBgn0067706,FBgn0262299",CR43006,CR33602
CG32368,Dmel,FBgn0052368,FBgn0064793,CG32368,
Der-1,Dmel,FBgn0267972,"FBgn0031376,FBgn0065307",CG10908,
CR17024,Dmel,FBgn0032437,,CR17024,CG17024
lost,Dmel,FBgn0263594,"FBgn0082587,FBgn0037245,FBgn0062228",CG14648,
VhaM9.7-d,Dmel,FBgn0038458,,CG14909,
VhaAC39-2,Dmel,FBgn0039058,FBgn0062158,CG4624,
VhaAC45,Dmel,FBgn0262515,"FBgn0033393,FBgn0062233,FBgn0065388",CG8029,
CG15556,Dmel,FBgn0039821,"FBgn0046565,FBgn0046566",CG15556,
snoRNA:Psi28S-1135f,Dmel,FBgn0083007,,CR34599,
snoRNA:Psi18S-1854b,Dmel,FBgn0083041,,CR34600,
CG14893,Dmel,FBgn0038451,,CG14893,
CG42615,Dmel,FBgn0261267,"FBgn0051829,FBgn0001980",CG42615,"CG31829,CG11861"
spoon,Dmel,FBgn0263987,"FBgn0082162,FBgn0029764,FBgn0047280",CG3249,
nolo,Dmel,FBgn0051619,"FBgn0032958,FBgn0032959,FBgn0040517",CG31619,"CG2131,CG2122,CG13236"
CG32650,Dmel,FBgn0052650,FBgn0030430,CG32650,CG4410
Sfp24Bc,Dmel,FBgn0261054,,CG42602,
CG14710,Dmel,FBgn0037920,,CG14710,
Pglym78,Dmel,FBgn0014869,,CG1721,
mir-971,Dmel,FBgn0262222,,CR42929,
Jabba,Dmel,FBgn0259682,"FBgn0034388,FBgn0062197,FBgn0054020,FBgn0082898",CG42351,"CG34020,CG15092"
mir-1004,Dmel,FBgn0262392,"FBgn0250800,FBgn0262219",CR42926,
mir-274,Dmel,FBgn0262437,"FBgn0067720,FBgn0262289",CR42996,CR33582
mir-2493,Dmel,FBgn0262315,,CR43022,
mir-2490,Dmel,FBgn0262293,,CR43000,
CG14442,Dmel,FBgn0029893,,CG14442,
5SrRNA-Psi:CR33371,Dmel,FBgn0053371,,CR33371,
Khc,Dmel,FBgn0001308,"FBgn0021886,FBgn0021889,FBgn0028613",CG7765,
CG14629,Dmel,FBgn0040398,FBgn0029556,CG14629,
cuff,Dmel,FBgn0260932,"FBgn0000390,FBgn0033662",CG13190,
CG8281,Dmel,FBgn0035824,,CG8281,
mir-276a,Dmel,FBgn0266076,"FBgn0262439,FBgn0067718,FBgn0067717,FBgn0262294,FBgn0066327",CR43001,"CR33584,CR33585"
mir-307a,Dmel,FBgn0262385,"FBgn0067697,FBgn0262206",CR42913,CR33611
mir-307b,Dmel,FBgn0262172,,CR42879,
mir-981,Dmel,FBgn0262178,,CR42885,
mir-iab-8,Dmel,FBgn0262290,,CR42997,
mir-6-1,Dmel,FBgn0262464,"FBgn0046819,FBgn0262340",CR43047,CR33004
mir-6-3,Dmel,FBgn0262418,"FBgn0046817,FBgn0262259",CR42966,CR33039
mir-2c,Dmel,FBgn0262397,"FBgn0067339,FBgn0262229",CR42936,CR33560
mir-970,Dmel,FBgn0262187,,CR42894,
mir-954,Dmel,FBgn0262302,,CR43009,
Dic61B,Dmel,FBgn0263988,"FBgn0035100,FBgn0260009",CG7051,
CR33319,Dmel,FBgn0053319,FBgn0032905,CR33319,CG18078
mir-959,Dmel,FBgn0262256,,CR42963,
mir-966,Dmel,FBgn0262317,,CR43024,
mir-962,Dmel,FBgn0262200,,CR42907,
mir-1003,Dmel,FBgn0262431,"FBgn0250799,FBgn0262280",CR42987,
mir-989,Dmel,FBgn0262215,,CR42922,
mir-980,Dmel,FBgn0262266,,CR42973,
wuc,Dmel,FBgn0033770,FBgn0063299,CG12442,
mir-2497,Dmel,FBgn0262191,,CR42898,
mir-975,Dmel,FBgn0262228,,CR42935,
mir-34,Dmel,FBgn0262459,"FBgn0064158,FBgn0053326,FBgn0262326",CR43033,CR33326
mira,Dmel,FBgn0021776,,CG12249,
vap,Dmel,FBgn0003969,FBgn0020383,CG9209,
blw,Dmel,FBgn0011211,"FBgn0010487,FBgn0010561,FBgn0011298,FBgn0022274",CG3612,
CG6907,Dmel,FBgn0031711,,CG6907,
CG43775,Dmel,FBgn0264297,FBgn0034979,CG43775,CG13569
tRNA:CR32123:Psi,Dmel,FBgn0052123,FBgn0060170,CR32123,
CG11159,Dmel,FBgn0034539,,CG11159,
5SrRNA:CR33372,Dmel,FBgn0053372,,CR33372,
CG16739,Dmel,FBgn0034505,,CG16739,
CG12783,Dmel,FBgn0038448,,CG12783,
