"feature","id","pval","qval","tname"
"gene","MSTRG.6812",9.16595888078575e-09,6.71733074899539e-05,"FBtr0076389"
"gene","MSTRG.9910",1.75524712542341e-08,6.71733074899539e-05,"FBtr0334151"
"gene","MSTRG.6811",3.39064865073624e-08,8.65067492424506e-05,"FBtr0076388"
"gene","MSTRG.7053",4.70415177922234e-08,9.00139442954195e-05,"FBtr0300506"
"gene","MSTRG.11252",9.72733693593852e-08,0.000148906073815347,"FBtr0085151"
"gene","MSTRG.11177",1.59347467443283e-07,0.000203274252635148,"FBtr0084988"
"gene","MSTRG.4723",2.27085563464513e-07,0.000248301843251055,"FBtr0086609"
"gene","MSTRG.11548",3.41298587835936e-07,0.000326537423912032,"FBtr0085511"
"gene","MSTRG.11752",4.32150904838835e-07,0.000367520336181827,"FBtr0085831"
"gene","MSTRG.11220",6.92843943772559e-07,0.000482380097256596,"FBtr0339241"
"gene","MSTRG.1209",6.97220371215224e-07,0.000482380097256596,"FBtr0079765"
"gene","MSTRG.3982",7.5627922224708e-07,0.000482380097256596,"FBtr0301011"
"gene","MSTRG.556",9.39051958415149e-07,0.000552884899208427,"FBtr0077539"
"gene","MSTRG.5920",1.36031718933616e-06,0.000743704840512782,"FBtr0308230"
"gene","MSTRG.12730",2.74054847970717e-06,0.00139841053757858,"FBtr0071123"
"gene","MSTRG.268",4.15127418107453e-06,0.00190518013690929,"FBtr0077942"
"gene","MSTRG.4830",4.23152107753566e-06,0.00190518013690929,"FBtr0086475"
"gene","MSTRG.3573",5.82853749697687e-06,0.0024144973523253,"FBtr0339471"
"gene","MSTRG.3478",6.28288184401082e-06,0.0024144973523253,"FBtr0330606"
"gene","MSTRG.4879",6.34812739797042e-06,0.0024144973523253,"FBtr0086300"
"gene","MSTRG.3603",6.88893451950001e-06,0.0024144973523253,"FBtr0088192"
"gene","MSTRG.5511",6.94002374590497e-06,0.0024144973523253,"FBtr0072305"
"gene","MSTRG.5122",7.40096802598345e-06,0.00246291344655988,"FBtr0071760"
"gene","MSTRG.12892",9.94913452445623e-06,0.00309766078882046,"FBtr0100081"
"gene","MSTRG.2990",1.01177841286271e-05,0.00309766078882046,"MSTRG.2990.1"
"gene","MSTRG.10808",1.06644517495758e-05,0.00313945052658665,"FBtr0084455"
"gene","MSTRG.6553",1.22682678599384e-05,0.00347782674814698,"FBtr0076749"
"gene","MSTRG.7650",1.63686186911427e-05,0.00444668992740662,"FBtr0075221"
"gene","MSTRG.3914",1.68479236862806e-05,0.00444668992740662,"FBtr0300286"
"gene","MSTRG.12155",1.76327495389206e-05,0.0044987021656966,"FBtr0070337"
"gene","MSTRG.10764",1.96825102742881e-05,0.00485967527869037,"FBtr0339619"
"gene","MSTRG.10804",2.33068582420337e-05,0.00543029997919079,"FBtr0084466"
"gene","MSTRG.5010",2.37986171309768e-05,0.00543029997919079,"FBtr0112396"
"gene","MSTRG.4624",2.57070276925564e-05,0.00543029997919079,"FBtr0086733"
"gene","MSTRG.1264",2.57633828208981e-05,0.00543029997919079,"FBtr0079925"
"gene","MSTRG.13854",2.67779576805793e-05,0.00543029997919079,"FBtr0074640"
"gene","MSTRG.4828",2.714177337515e-05,0.00543029997919079,"FBtr0086482"
"gene","MSTRG.10987",2.75671034311031e-05,0.00543029997919079,"MSTRG.10987.1"
"gene","MSTRG.11103",2.76694145791012e-05,0.00543029997919079,"MSTRG.11103.1"
"gene","MSTRG.11219",3.57830234246626e-05,0.00677856042491887,"FBtr0100553"
"gene","MSTRG.1595",3.63105536218544e-05,0.00677856042491887,"FBtr0080288"
"gene","MSTRG.10460",3.83458919818169e-05,0.00698808231497207,"FBtr0083992"
"gene","MSTRG.1189",4.3334419618235e-05,0.00758075696540238,"FBtr0302992"
"gene","MSTRG.7292",4.4710424417449e-05,0.00758075696540238,"FBtr0304959"
"gene","MSTRG.5343",4.5169362659303e-05,0.00758075696540238,"FBtr0346652"
"gene","MSTRG.6075",4.61907254667437e-05,0.00758075696540238,"FBtr0073076"
"gene","MSTRG.7920",4.73764918165198e-05,0.00758075696540238,"FBtr0074886"
"gene","MSTRG.3250",4.7540676030744e-05,0.00758075696540238,"FBtr0088707"
"gene","MSTRG.10663",5.09044878371778e-05,0.00769455767360812,"FBtr0346363"
"gene","MSTRG.5105",5.11665484015378e-05,0.00769455767360812,"FBtr0308748"
"gene","MSTRG.1876",5.28493908096284e-05,0.00769455767360812,"MSTRG.1876.1"
"gene","MSTRG.6710",5.30993345055908e-05,0.00769455767360812,"FBtr0076510"
"gene","MSTRG.8943",5.5179639717684e-05,0.00769455767360812,"FBtr0081784"
"gene","MSTRG.8026",5.58191680339881e-05,0.00769455767360812,"FBtr0078197"
"gene","MSTRG.3128",5.60980016448553e-05,0.00769455767360812,"FBtr0088834"
"gene","MSTRG.11312",5.62967376172008e-05,0.00769455767360812,"FBtr0085210"
"gene","MSTRG.1297",5.76094819300099e-05,0.00773584166126835,"FBtr0079900"
"gene","MSTRG.9546",5.87572051889973e-05,0.00775392497442388,"FBtr0082583"
"gene","MSTRG.4453",7.04279321827039e-05,0.00913653208349857,"FBtr0345521"
"gene","MSTRG.13715",7.27317891404677e-05,0.00927815190135233,"FBtr0074444"
"gene","MSTRG.2466",7.48320558773274e-05,0.00938958288008302,"FBtr0307163"
"gene","MSTRG.9734",8.18841674894433e-05,0.00989205294761503,"FBtr0113232"
"gene","MSTRG.4610",8.29925558869515e-05,0.00989205294761503,"FBtr0086812"
"gene","MSTRG.2232",8.36331878184549e-05,0.00989205294761503,"MSTRG.2232.1"
"gene","MSTRG.843",8.40061982747553e-05,0.00989205294761503,"FBtr0079250"
"gene","MSTRG.6757",9.44545755060533e-05,0.0109538684988384,"FBtr0076452"
"gene","MSTRG.8882",9.7475740011177e-05,0.0111355121499336,"FBtr0302437"
"gene","MSTRG.9697",9.95965542462951e-05,0.011178190963428,"FBtr0112939"
"gene","MSTRG.10385",0.000100770208580681,0.011178190963428,"FBtr0083823"
"gene","MSTRG.13630",0.000103799248043046,0.0112801694904498,"FBtr0074361"
"gene","MSTRG.302",0.000104637056940415,0.0112801694904498,"FBtr0303377"
"gene","MSTRG.9281",0.00011138329468352,0.0118406630209398,"FBtr0337048"
"gene","MSTRG.4613",0.000119060155049366,0.0123738815160614,"FBtr0086810"
"gene","MSTRG.4446",0.000119632510084733,0.0123738815160614,"MSTRG.4446.1"
"gene","MSTRG.1187",0.000132531088589793,0.0135252393608837,"FBtr0340230"
"gene","MSTRG.9860",0.000145193132300658,0.0146224767714374,"FBtr0112514"
"gene","MSTRG.7086",0.000149515893476559,0.0147060131231156,"FBtr0333382"
"gene","MSTRG.7405",0.000150764593561559,0.0147060131231156,"FBtr0303076"
"gene","MSTRG.12458",0.000151786652302865,0.0147060131231156,"MSTRG.12458.1"
"gene","MSTRG.12713",0.000155092123724998,0.0148384389373892,"FBtr0071091"
"gene","MSTRG.6602",0.000161814616472022,0.0151402528562976,"FBtr0076725"
"gene","MSTRG.8864",0.000163354200198973,0.0151402528562976,"FBtr0303218"
"gene","MSTRG.7087",0.000164180949447701,0.0151402528562976,"FBtr0076003"
"gene","MSTRG.4833",0.000175029672617955,0.0158622659986532,"FBtr0086477"
"gene","MSTRG.4873",0.000176155292642477,0.0158622659986532,"FBtr0086303"
"gene","MSTRG.848",0.000179834845317917,0.0159983814875422,"FBtr0299969"
"gene","MSTRG.251",0.000183195444469542,0.0159983814875422,"FBtr0307096"
"gene","MSTRG.8784",0.000185101809855759,0.0159983814875422,"FBtr0081729"
"gene","MSTRG.3024",0.000186027691715607,0.0159983814875422,"FBtr0089053"
"gene","MSTRG.8229",0.000198041723316389,0.0168423483362627,"FBtr0078477"
"gene","MSTRG.7483",0.000203988592817672,0.0171033801403343,"FBtr0075453"
"gene","MSTRG.2874",0.000205580215953849,0.0171033801403343,"FBtr0085987"
"gene","MSTRG.4829",0.000210414704055251,0.017297558501269,"FBtr0112391"
"gene","MSTRG.13801",0.000212434086636959,0.017297558501269,"FBtr0074559"
"gene","MSTRG.10907",0.000221735140874868,0.0178648501921709,"FBtr0334599"
"gene","MSTRG.1544",0.000231554027009473,0.0182621056517103,"FBtr0080212"
"gene","MSTRG.12230",0.000231822004469584,0.0182621056517103,"FBtr0307159"
"gene","MSTRG.2856",0.000235345530635422,0.0182621056517103,"FBtr0086029"
